,StudentId,AssessmentGrade,GE-Grade,GE-Grade_MAX
1502,15463,5,0.9,0.9
1503,15464,5,-0.5,-0.5
1504,15465,5,-1.1,-1.1
1505,15466,5,0.3,0.3
1506,15469,5,-2.5,-2.5
1507,15475,5,0.8,0.8
1508,15477,5,-1.3,-1.3
1509,15478,5,-0.6,-0.6
1510,15479,7,-4.5,-4.5
1511,15480,7,-5.1,-5.1
1512,15481,5,-2.9,-2.9
1513,15485,5,0.0,0.0
1514,15486,5,1.35,1.9
1515,15492,5,-1.8,-1.8
1516,15493,6,-1.7,-1.7
1517,15495,6,-3.8,-3.6
1518,15496,6,-2.4,-1.8
1519,15497,5,-0.7,-0.7
1520,15499,6,1.65,2.3
1521,15500,6,0.1,0.1
1522,15501,5,-0.8,-0.8
1523,15502,6,-3.5,-3.1
1524,15505,5,-1.3,-1.3
1525,15510,5,0.1,0.1
1526,15512,5,0.8,0.8
1527,15514,5,-3.4,-3.4
1528,15520,5,-2.8,-2.8
1529,15521,5,0.4,0.4
1530,15522,5,-0.3,-0.3
1531,15528,5,-1.95,-1.2
1532,15533,5,-0.5,-0.5
1533,15536,5,-1.5,-1.5
1534,15537,7,0.3,0.3
1535,15540,5,-2.1,-2.1
1536,15542,5,-1.6,-1.6
1537,15547,5,-1.9,-1.9
1538,15548,5,-1.75,-1.4
1539,15549,5,0.1,0.1
1540,15550,7,-4.6,-4.6
1541,15551,5,-0.8,-0.8
1542,15552,5,0.1,0.1
1543,15554,5,0.0,0.0
1544,15557,5,-2.4,-2.4
1545,15558,5,-2.2,-2.2
1546,15563,5,-3.83333333333,-3.6
1547,15565,5,-2.2,-2.2
1548,15567,5,-2.3,-2.3
1549,15573,5,-0.6,-0.6
1550,15576,5,-0.4,-0.4
1551,15577,5,0.4,0.4
1552,15578,5,-1.0,-1.0
1553,15580,5,2.3,2.3
1554,15582,7,-3.9,-3.9
1555,15583,5,-0.8,-0.8
1556,15585,5,-1.4,-1.4
1557,15587,5,-2.2,-2.2
1558,15589,5,-1.9,-1.9
1559,15592,5,-1.0,-1.0
1560,15593,5,-1.8,-1.8
1561,15594,5,0.1,0.1
1562,15597,5,-1.5,-1.5
1563,15599,5,-0.9,-0.9
1564,15600,5,-1.2,-1.2
1565,15608,5,1.3,1.3
1566,15609,5,-3.8,-3.8
1567,15613,5,-1.1,-1.1
1568,15616,5,-1.5,-1.5
1569,15618,5,1.0,1.0
1570,15619,5,-0.7,-0.7
1571,15620,5,-1.7,-1.7
1572,15629,6,-1.9,-1.1
1573,15662,5,0.8,0.8
1574,15664,5,-0.1,-0.1
1575,15677,5,-2.9,-2.9
1576,15678,5,-2.4,-2.4
1577,15685,5,-0.1,-0.1
1578,15690,5,-1.9,-1.9
1579,15695,5,-2.1,-2.1
1580,15708,5,-2.6,-2.6
1581,15711,5,-2.3,-2.3
1582,15717,5,3.6,3.6
1583,15738,6,-2.7,-2.7
1584,15740,5,-0.3,-0.3
1585,15741,5,-1.7,-1.7
1586,15745,5,-2.1,-2.1
1587,15747,5,-0.6,-0.6
1588,15749,5,-1.0,-1.0
1589,15752,5,2.9,2.9
1590,15753,5,-2.0,-2.0
1591,15767,5,-2.4,-2.4
1592,15770,5,-1.4,-1.4
1593,15771,5,-0.1,-0.1
1594,15773,5,-1.9,-1.9
1595,15775,6,-1.5,-1.5
1596,15778,6,-2.9,-2.9
1597,15785,6,-2.65,-2.4
1598,15790,6,-2.8,-2.8
1599,15798,5,1.9,1.9
1600,15804,6,-0.9,-0.9
1601,15865,6,0.8,0.8
1602,15866,6,-0.6,-0.6
1603,15867,6,-1.5,-1.5
1604,15871,5,-0.55,0.2
1605,15951,5,-2.2,-2.2
1606,16017,6,1.4,1.4
1607,16022,5,-1.0,-1.0
1608,16027,5,-1.1,-1.1
1609,16032,6,-3.15,-3.1
1610,16040,6,3.55,4.6
1611,16047,6,-4.2,-4.2
1612,16065,6,-2.8,-2.8
1613,16071,6,-1.7,-1.7
1614,16072,6,-2.9,-2.9
1615,16081,6,-3.5,-3.5
1616,16090,6,-0.2,-0.2
1617,16110,6,-1.8,-1.8
1618,16123,6,-3.2,-3.2
1619,16129,6,0.2,0.2
1620,16131,7,-5.6,-5.6
1621,16133,5,-0.5,-0.5
1622,16141,5,-1.9,-1.9
1623,16316,5,-1.0,-1.0
1624,16325,5,-0.7,-0.7
1625,16330,5,1.8,1.8
1626,16336,5,-2.1,-2.1
1627,16339,5,-2.4,-2.4
1628,16342,5,-1.9,-1.9
1629,16416,5,-2.2,-2.2
1630,16434,6,-3.1,-3.1
1631,16482,5,-1.7,-1.7
1632,16492,5,-2.3,-2.3
1633,16511,5,0.7,0.7
