,year,student_id,absence_rate,total
599,2016,14923,0.12,25
600,2015,15085,0.0176470588235,170
601,2016,15835,0.0,29
602,2014,12453,0.0114942528736,174
603,2013,10802,0.0165745856354,181
604,2014,6956,0.0,182
605,2014,6503,0.0054347826087,184
606,2015,13820,0.0,174
607,2015,15212,0.0,142
608,2015,14220,0.0,172
609,2015,7026,0.0,176
610,2016,16202,0.0344827586207,29
611,2012,6872,1.0,1
612,2016,14161,0.0,29
613,2014,6888,0.0172413793103,174
614,2016,13442,0.208333333333,24
615,2014,6784,0.0459770114943,174
616,2016,6849,0.0,28
617,2014,2737,0.0,173
618,2016,14586,0.0,29
619,2014,13207,0.0555555555556,180
620,2014,13251,0.0677966101695,177
621,2015,13323,0.0232558139535,172
622,2012,6685,0.0,33
623,2012,7022,0.5,2
624,2013,10361,0.1625,80
625,2016,13333,0.142857142857,28
626,2012,6341,1.0,4
627,2014,3939,0.00568181818182,176
628,2013,6411,0.0491803278689,183
629,2014,13187,0.00574712643678,174
630,2016,14284,0.0,28
631,2016,15732,0.0,29
632,2014,3207,0.0115606936416,173
633,2014,6910,0.00571428571429,175
634,2015,15049,0.0402298850575,174
635,2014,11818,0.0168539325843,178
636,2015,11619,0.0,171
637,2016,14705,0.0,29
638,2014,12995,0.0220994475138,181
639,2016,13023,0.0,28
640,2014,6879,0.0115606936416,173
641,2012,3453,1.0,2
642,2013,6775,0.00549450549451,182
643,2015,6407,0.00588235294118,170
644,2015,6758,0.0,164
645,2015,14018,0.00568181818182,176
646,2016,12649,0.0689655172414,29
647,2016,14725,0.0,31
648,2014,4572,0.0114285714286,175
649,2013,11803,0.323529411765,34
650,2013,3201,0.0168539325843,178
651,2014,6528,0.0,174
652,2014,6387,0.0,185
653,2016,6916,0.0357142857143,28
654,2015,6948,0.0365853658537,164
655,2016,13331,0.0,30
656,2015,14183,0.00581395348837,172
657,2015,6952,0.00609756097561,164
658,2014,3516,0.00571428571429,175
659,2014,13522,0.402985074627,67
660,2014,12538,0.0628571428571,175
661,2016,14159,0.0,28
662,2014,12638,0.0561797752809,178
663,2015,13856,0.130952380952,168
664,2015,11659,0.0,170
665,2014,13354,0.0393258426966,178
666,2016,13505,0.0,30
667,2015,14102,0.0,170
668,2015,6380,0.0229885057471,174
669,2016,14487,0.0,29
670,2015,15122,0.062893081761,159
671,2015,6581,0.0727272727273,165
672,2016,16613,0.0333333333333,30
673,2016,13943,0.0,29
674,2013,10893,0.0167597765363,179
675,2014,12739,0.0110497237569,181
676,2015,11979,0.0628571428571,175
677,2013,6688,0.0,179
678,2015,6401,0.0473372781065,169
679,2016,11938,0.0357142857143,28
680,2016,16939,0.0,13
681,2016,7042,0.0,29
682,2014,3042,0.0867052023121,173
683,2015,14243,0.0342857142857,175
684,2014,3932,0.0113636363636,176
685,2015,14970,0.0,171
686,2015,11414,0.0,175
687,2015,6898,0.00568181818182,176
688,2016,10882,0.0689655172414,29
689,2013,12025,0.029197080292,137
690,2015,6832,0.0,174
691,2014,7148,0.0,177
692,2014,13037,0.0574712643678,174
693,2013,2930,0.0222222222222,180
694,2016,15793,0.0,27
695,2015,6464,0.0,176
696,2016,10415,0.0,29
697,2013,3171,0.00571428571429,175
698,2014,3412,0.00571428571429,175
699,2014,13021,0.0508474576271,177
700,2016,12593,0.0,29
701,2016,15013,0.0,29
702,2016,13348,0.0,24
703,2015,7064,0.0,173
704,2016,13226,0.0,29
705,2015,13620,0.0,165
706,2016,14083,0.0,29
707,2016,13242,0.0,29
708,2014,13394,0.0,73
709,2014,12593,0.0,178
710,2013,11538,0.00571428571429,175
711,2016,11119,0.166666666667,30
712,2014,3053,0.00581395348837,172
713,2012,6548,0.0,1
714,2015,11713,0.0941176470588,170
715,2016,14771,0.0,29
716,2014,13322,0.0564971751412,177
717,2015,14654,0.0,174
718,2015,14653,0.0,171
719,2016,11083,0.0357142857143,28
720,2015,12359,0.0,171
721,2016,14801,0.0689655172414,29
722,2015,14392,0.00568181818182,176
723,2015,13882,0.00571428571429,175
724,2014,12647,0.0170454545455,176
725,2013,10562,0.0,174
726,2015,13502,0.144578313253,166
727,2016,16376,0.0,27
728,2013,11426,0.0,175
729,2013,3440,0.00571428571429,175
730,2014,6721,0.0,174
731,2016,13501,0.0,29
732,2016,13552,0.0714285714286,28
733,2012,2777,0.5,10
734,2013,11770,0.0919540229885,174
735,2014,11423,0.0111111111111,180
736,2013,11779,0.0218579234973,183
737,2014,12696,0.0112359550562,178
738,2016,15809,0.0,29
739,2016,12596,0.0,27
740,2013,11110,0.0,84
741,2014,13122,0.110465116279,172
742,2016,7010,0.0,29
743,2013,6993,0.0164835164835,182
744,2014,6491,0.0815217391304,184
745,2016,7049,0.0,29
746,2012,3141,0.428571428571,7
747,2015,13263,0.0170454545455,176
748,2015,13396,0.0,176
749,2016,14665,0.0,29
750,2014,3447,0.0,175
751,2015,7070,0.00571428571429,175
752,2012,2966,0.416666666667,12
753,2014,13589,0.0325203252033,123
754,2016,16369,0.125,24
755,2014,10754,0.0342857142857,175
756,2015,3479,0.0,176
757,2015,14668,0.0,175
758,2016,6928,0.0,28
759,2016,13973,0.0,28
760,2016,10983,0.0,29
761,2013,11981,0.031847133758,157
762,2016,16226,0.0,28
763,2016,6520,0.0344827586207,29
764,2015,11143,0.0248447204969,161
765,2016,16472,0.0869565217391,23
766,2014,11087,0.00552486187845,181
767,2012,4573,0.6,5
768,2015,14511,0.0584795321637,171
769,2016,12696,0.0,29
770,2015,6429,0.0062893081761,159
771,2014,6566,0.00549450549451,182
772,2015,12447,0.0484848484848,165
773,2016,15626,0.0,29
774,2013,10564,0.132183908046,174
775,2016,14686,0.0,27
776,2014,3195,0.0514285714286,175
777,2016,14276,0.0,30
778,2014,6454,0.0114942528736,174
779,2014,11880,0.0,175
780,2015,14292,0.00595238095238,168
781,2016,11025,0.0,29
782,2014,10208,0.0,174
783,2015,13877,0.0120481927711,166
784,2015,6844,0.00595238095238,168
785,2016,16340,0.0,29
786,2016,6701,0.0,29
787,2012,3962,0.0,18
788,2016,11151,0.0,29
789,2016,13177,0.0,30
790,2012,2618,0.5,4
791,2014,13102,0.0231213872832,173
792,2016,16510,0.0344827586207,29
793,2015,13809,0.00578034682081,173
794,2015,6354,0.0116279069767,172
795,2012,2521,0.5,4
796,2012,7019,0.666666666667,9
797,2013,10903,0.0277777777778,180
798,2015,14753,0.0171428571429,175
799,2014,10198,0.0331491712707,181
800,2016,11939,0.103448275862,29
801,2014,13350,0.0224719101124,178
802,2014,6420,0.0222222222222,180
803,2014,7090,0.0326086956522,184
804,2016,16180,0.0689655172414,29
805,2014,7061,0.0380434782609,184
806,2015,11186,0.0414201183432,169
807,2015,6881,0.0,173
808,2013,3041,0.0229885057471,174
809,2015,6483,0.0,175
810,2016,14277,0.0,29
811,2015,11006,0.0,150
812,2015,11407,0.0,42
813,2016,14924,0.0,29
814,2014,6453,0.0279329608939,179
815,2015,11540,0.0,174
816,2016,6345,0.0,29
817,2013,10663,0.0228571428571,175
818,2016,12926,0.0,29
819,2014,13188,0.0108695652174,184
820,2016,6473,0.0,29
821,2012,7050,0.0,1
822,2013,6385,0.0112359550562,178
823,2016,13206,0.0344827586207,29
824,2014,10741,0.0,175
825,2016,10376,0.0,28
826,2012,2737,0.5,8
827,2016,11092,0.0740740740741,27
828,2013,3136,0.0168539325843,178
829,2013,11685,0.0111731843575,179
830,2015,13233,0.0,175
831,2015,13772,0.0429447852761,163
832,2016,12912,0.0,26
833,2015,12690,0.02,100
834,2015,13194,0.00574712643678,174
835,2013,11309,0.0285714285714,175
836,2014,13399,0.0171428571429,175
837,2016,10619,0.0344827586207,29
838,2015,6531,0.0059880239521,167
839,2016,6787,0.0,27
840,2013,6956,0.00552486187845,181
841,2015,6697,0.00595238095238,168
842,2016,16517,0.0,29
843,2015,6349,0.0,174
844,2015,13694,0.0,177
845,2015,7180,0.0,173
846,2016,15607,0.0,30
847,2016,7190,0.0,29
848,2015,11536,0.0178571428571,168
849,2016,11732,0.0,30
850,2013,6517,0.010989010989,182
851,2016,16459,0.0,29
852,2014,12968,0.0333333333333,180
853,2015,13280,0.0718562874251,167
854,2012,6729,0.0,1
855,2013,2470,0.0346820809249,173
856,2014,3161,0.0287356321839,174
857,2014,3437,0.0114285714286,175
858,2016,15315,0.0344827586207,29
859,2013,10952,0.0115606936416,173
